,,,,genus,genus,family,family,order,order,class,class,phylum,phylum
Vagococcus lutrae,Vagococcus lutrae,Vagococcus lutrae,Vagococcus lutrae,Vagococcus,Vagococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Peptoniphilus grossensis,Peptoniphilus grossensis,Peptoniphilus grossensis,Peptoniphilus grossensis,Peptoniphilus,Peptoniphilus,Peptoniphilaceae,Peptoniphilaceae,Tissierellales,Tissierellales,Tissierellia,Tissierellia,Firmicutes,Firmicutes
Citrobacter gillenii,Citrobacter gillenii,Citrobacter gillenii,Citrobacter gillenii,Citrobacter,Citrobacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Candidatus Methanomethylophilus sp. 1R26,Candidatus Methanomethylophilus sp. 1R26,Candidatus Methanomethylophilus sp. 1R26,Candidatus Methanomethylophilus sp. 1R26,Candidatus Methanomethylophilus,Candidatus Methanomethylophilus,Candidatus Methanomethylophilaceae,Candidatus Methanomethylophilaceae,Methanomassiliicoccales,Methanomassiliicoccales,Thermoplasmata,Thermoplasmata,Candidatus Thermoplasmatota,Candidatus Thermoplasmatota
Pseudomonas panacis,Pseudomonas panacis,Pseudomonas panacis,Pseudomonas panacis,Pseudomonas,Pseudomonas,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadales,Pseudomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Rhodococcus pyridinivorans,Rhodococcus pyridinivorans,Rhodococcus pyridinivorans,Rhodococcus pyridinivorans,Rhodococcus,Rhodococcus,Nocardiaceae,Nocardiaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Rhodococcus hoagii,Rhodococcus hoagii,Rhodococcus hoagii,Rhodococcus hoagii,Rhodococcus,Rhodococcus,Nocardiaceae,Nocardiaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Pseudomonas kuykendallii,Pseudomonas kuykendallii,Pseudomonas kuykendallii,Pseudomonas kuykendallii,Pseudomonas,Pseudomonas,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadales,Pseudomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Lawsonia intracellularis,Lawsonia intracellularis,Lawsonia intracellularis,Lawsonia intracellularis,Lawsonia,Lawsonia,Desulfovibrionaceae,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionales,Deltaproteobacteria,Deltaproteobacteria,Proteobacteria,Proteobacteria
Brevibacterium iodinum,Brevibacterium iodinum,Brevibacterium iodinum,Brevibacterium iodinum,Brevibacterium,Brevibacterium,Brevibacteriaceae,Brevibacteriaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Gordonia terrae,Gordonia terrae,Gordonia terrae,Gordonia terrae,Gordonia,Gordonia,Gordoniaceae,Gordoniaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Cellulosimicrobium cellulans,Cellulosimicrobium cellulans,Cellulosimicrobium cellulans,Cellulosimicrobium cellulans,Cellulosimicrobium,Cellulosimicrobium,Promicromonosporaceae,Promicromonosporaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Nocardiopsis alba,Nocardiopsis alba,Nocardiopsis alba,Nocardiopsis alba,Nocardiopsis,Nocardiopsis,Nocardiopsaceae,Nocardiopsaceae,Streptosporangiales,Streptosporangiales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Nocardiopsis sp. L17-MgMaSL7,Nocardiopsis sp. L17-MgMaSL7,Nocardiopsis sp. L17-MgMaSL7,Nocardiopsis sp. L17-MgMaSL7,Nocardiopsis,Nocardiopsis,Nocardiopsaceae,Nocardiopsaceae,Streptosporangiales,Streptosporangiales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Methanobrevibacter sp. AbM4,Methanobrevibacter sp. AbM4,Methanobrevibacter sp. AbM4,Methanobrevibacter sp. AbM4,Methanobrevibacter,Methanobrevibacter,Methanobacteriaceae,Methanobacteriaceae,Methanobacteriales,Methanobacteriales,Methanobacteria,Methanobacteria,Euryarchaeota,Euryarchaeota
Mycolicibacterium obuense,Mycolicibacterium obuense,Mycolicibacterium obuense,Mycolicibacterium obuense,Mycolicibacterium,Mycolicibacterium,Mycobacteriaceae,Mycobacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Methylobacterium radiotolerans,Methylobacterium radiotolerans,Methylobacterium radiotolerans,Methylobacterium radiotolerans,Methylobacterium,Methylobacterium,Methylobacteriaceae,Methylobacteriaceae,Hyphomicrobiales,Hyphomicrobiales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
Rhodococcus gordoniae,Rhodococcus gordoniae,Rhodococcus gordoniae,Rhodococcus gordoniae,Rhodococcus,Rhodococcus,Nocardiaceae,Nocardiaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Liquorilactobacillus satsumensis,Liquorilactobacillus satsumensis,Liquorilactobacillus satsumensis,Liquorilactobacillus satsumensis,Liquorilactobacillus,Liquorilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Enterobacter lignolyticus,Enterobacter lignolyticus,Enterobacter lignolyticus,Enterobacter lignolyticus,Pluralibacter,Pluralibacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Cedecea neteri,Cedecea neteri,Cedecea neteri,Cedecea neteri,Cedecea,Cedecea,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Bifidobacterium magnum,Bifidobacterium magnum,Bifidobacterium magnum,Bifidobacterium magnum,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Bifidobacterium gallicum,Bifidobacterium gallicum,Bifidobacterium gallicum,Bifidobacterium gallicum,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Glutamicibacter mysorens,Glutamicibacter mysorens,Glutamicibacter mysorens,Glutamicibacter mysorens,Glutamicibacter,Glutamicibacter,Micrococcaceae,Micrococcaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Pradoshia eiseniae,Pradoshia eiseniae,Pradoshia eiseniae,Pradoshia eiseniae,Pradoshia,Pradoshia,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Sarcina sp. DSM 11001,Sarcina sp. DSM 11001,Sarcina sp. DSM 11001,Sarcina sp. DSM 11001,Sarcina,Sarcina,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Methanobrevibacter thaueri,Methanobrevibacter thaueri,Methanobrevibacter thaueri,Methanobrevibacter thaueri,Methanobrevibacter,Methanobrevibacter,Methanobacteriaceae,Methanobacteriaceae,Methanobacteriales,Methanobacteriales,Methanobacteria,Methanobacteria,Euryarchaeota,Euryarchaeota
Methanobrevibacter ruminantium,Methanobrevibacter ruminantium,Methanobrevibacter ruminantium,Methanobrevibacter ruminantium,Methanobrevibacter,Methanobrevibacter,Methanobacteriaceae,Methanobacteriaceae,Methanobacteriales,Methanobacteriales,Methanobacteria,Methanobacteria,Euryarchaeota,Euryarchaeota
Corynebacterium efficiens,Corynebacterium efficiens,Corynebacterium efficiens,Corynebacterium efficiens,Corynebacterium,Corynebacterium,Corynebacteriaceae,Corynebacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Treponema saccharophilum,Treponema saccharophilum,Treponema saccharophilum,Treponema saccharophilum,Treponema,Treponema,Treponemataceae,Treponemataceae,Spirochaetales,Spirochaetales,Spirochaetia,Spirochaetia,Spirochaetes,Spirochaetes
Roseburia sp. 499,Roseburia sp. 499,Roseburia sp. 499,Roseburia sp. 499,Roseburia,Roseburia,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Pseudomonas sp. TTU2014-080ASC,Pseudomonas sp. TTU2014-080ASC,Pseudomonas sp. TTU2014-080ASC,Pseudomonas sp. TTU2014-080ASC,Pseudomonas,Pseudomonas,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadales,Pseudomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Pseudomonas flexibilis,Pseudomonas flexibilis,Pseudomonas flexibilis,Pseudomonas flexibilis,Pseudomonas,Pseudomonas,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadales,Pseudomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Clostridium bornimense,Clostridium bornimense,Clostridium bornimense,Clostridium bornimense,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Mycolicibacterium fortuitum,Mycolicibacterium fortuitum,Mycolicibacterium fortuitum,Mycolicibacterium fortuitum,Mycolicibacterium,Mycolicibacterium,Mycobacteriaceae,Mycobacteriaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Gordonia amicalis,Gordonia amicalis,Gordonia amicalis,Gordonia amicalis,Gordonia,Gordonia,Gordoniaceae,Gordoniaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Cellulosimicrobium aquatile,Cellulosimicrobium aquatile,Cellulosimicrobium aquatile,Cellulosimicrobium aquatile,Cellulosimicrobium,Cellulosimicrobium,Promicromonosporaceae,Promicromonosporaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Gordonia alkanivorans,Gordonia alkanivorans,Gordonia alkanivorans,Gordonia alkanivorans,Gordonia,Gordonia,Gordoniaceae,Gordoniaceae,Corynebacteriales,Corynebacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Methanosphaera sp. rholeuAM74,Methanosphaera sp. rholeuAM74,Methanosphaera sp. rholeuAM74,Methanosphaera sp. rholeuAM74,Methanosphaera,Methanosphaera,Methanobacteriaceae,Methanobacteriaceae,Methanobacteriales,Methanobacteriales,Methanobacteria,Methanobacteria,Euryarchaeota,Euryarchaeota
Pyrococcus yayanosii,Pyrococcus yayanosii,Pyrococcus yayanosii,Pyrococcus yayanosii,Pyrococcus,Pyrococcus,Thermococcaceae,Thermococcaceae,Thermococcales,Thermococcales,Thermococci,Thermococci,Euryarchaeota,Euryarchaeota
Lacticaseibacillus pantheris,Lacticaseibacillus pantheris,Lacticaseibacillus pantheris,Lacticaseibacillus pantheris,Lacticaseibacillus,Lacticaseibacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Vibrio kanaloae,Vibrio kanaloae,Vibrio kanaloae,Vibrio kanaloae,Vibrio,Vibrio,Vibrionaceae,Vibrionaceae,Vibrionales,Vibrionales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Lactobacillus kitasatonis,Lactobacillus kitasatonis,Lactobacillus kitasatonis,Lactobacillus kitasatonis,Lactobacillus,Lactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Vibrio fluvialis,Vibrio fluvialis,Vibrio fluvialis,Vibrio fluvialis,Vibrio,Vibrio,Vibrionaceae,Vibrionaceae,Vibrionales,Vibrionales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Halomonas boliviensis,Halomonas boliviensis,Halomonas boliviensis,Halomonas boliviensis,Halomonas,Halomonas,Halomonadaceae,Halomonadaceae,Oceanospirillales,Oceanospirillales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Xanthomonas phaseoli,Xanthomonas phaseoli,Xanthomonas phaseoli,Xanthomonas phaseoli,Xanthomonas,Xanthomonas,Xanthomonadaceae,Xanthomonadaceae,Xanthomonadales,Xanthomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Kocuria marina,Kocuria marina,Kocuria marina,Kocuria marina,Kocuria,Kocuria,Micrococcaceae,Micrococcaceae,Micrococcales,Micrococcales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Sphingopyxis terrae,Sphingopyxis terrae,Sphingopyxis terrae,Sphingopyxis terrae,Sphingopyxis,Sphingopyxis,Sphingomonadaceae,Sphingomonadaceae,Sphingomonadales,Sphingomonadales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
Fusobacterium necrogenes,Fusobacterium necrogenes,Fusobacterium necrogenes,Fusobacterium necrogenes,Fusobacterium,Fusobacterium,Fusobacteriaceae,Fusobacteriaceae,Fusobacteriales,Fusobacteriales,Fusobacteriia,Fusobacteriia,Fusobacteria,Fusobacteria
Pseudoalteromonas tetraodonis,Pseudoalteromonas tetraodonis,Pseudoalteromonas tetraodonis,Pseudoalteromonas tetraodonis,Pseudoalteromonas,Pseudoalteromonas,Pseudoalteromonadaceae,Pseudoalteromonadaceae,Alteromonadales,Alteromonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Pseudoalteromonas undina,Pseudoalteromonas undina,Pseudoalteromonas undina,Pseudoalteromonas undina,Pseudoalteromonas,Pseudoalteromonas,Pseudoalteromonadaceae,Pseudoalteromonadaceae,Alteromonadales,Alteromonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Pseudoalteromonas nigrifaciens,Pseudoalteromonas nigrifaciens,Pseudoalteromonas nigrifaciens,Pseudoalteromonas nigrifaciens,Pseudoalteromonas,Pseudoalteromonas,Pseudoalteromonadaceae,Pseudoalteromonadaceae,Alteromonadales,Alteromonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Providencia stuartii,Providencia stuartii,Providencia stuartii,Providencia stuartii,Providencia,Providencia,Morganellaceae,Morganellaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Clostridium argentinense,Clostridium argentinense,Clostridium argentinense,Clostridium argentinense,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Lachnoclostridium phytofermentans,Lachnoclostridium phytofermentans,Lachnoclostridium phytofermentans,Lachnoclostridium phytofermentans,Lachnoclostridium,Lachnoclostridium,Lachnospiraceae,Lachnospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Staphylococcus kloosii,Staphylococcus kloosii,Staphylococcus kloosii,Staphylococcus kloosii,Staphylococcus,Staphylococcus,Staphylococcaceae,Staphylococcaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Prauserella sp. Am3,Prauserella sp. Am3,Prauserella sp. Am3,Prauserella sp. Am3,Prauserella,Prauserella,Pseudonocardiaceae,Pseudonocardiaceae,Pseudonocardiales,Pseudonocardiales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Aeromonas allosaccharophila,Aeromonas allosaccharophila,Aeromonas allosaccharophila,Aeromonas allosaccharophila,Aeromonas,Aeromonas,Aeromonadaceae,Aeromonadaceae,Aeromonadales,Aeromonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Romboutsia lituseburensis,Romboutsia lituseburensis,Romboutsia lituseburensis,Romboutsia lituseburensis,Romboutsia,Romboutsia,Peptostreptococcaceae,Peptostreptococcaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Frischella perrara,Frischella perrara,Frischella perrara,Frischella perrara,Frischella,Frischella,Orbaceae,Orbaceae,Orbales,Orbales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Gilliamella apicola,Gilliamella apicola,Gilliamella apicola,Gilliamella apicola,Gilliamella,Gilliamella,Orbaceae,Orbaceae,Orbales,Orbales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Edwardsiella hoshinae,Edwardsiella hoshinae,Edwardsiella hoshinae,Edwardsiella hoshinae,Edwardsiella,Edwardsiella,Hafniaceae,Hafniaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Leishmania braziliensis,Leishmania braziliensis,Leishmania braziliensis,Leishmania braziliensis,Leishmania,Leishmania,Trypanosomatidae,Trypanosomatidae,Trypanosomatida,Trypanosomatida,Kinetoplastea,Kinetoplastea,Euglenozoa,Euglenozoa
Pseudomonas yamanorum,Pseudomonas yamanorum,Pseudomonas yamanorum,Pseudomonas yamanorum,Pseudomonas,Pseudomonas,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadales,Pseudomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Mesorhizobium hungaricum,Mesorhizobium hungaricum,Mesorhizobium hungaricum,Mesorhizobium hungaricum,Mesorhizobium,Mesorhizobium,Phyllobacteriaceae,Phyllobacteriaceae,Hyphomicrobiales,Hyphomicrobiales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
Chryseobacterium scophthalmum,Chryseobacterium scophthalmum,Chryseobacterium scophthalmum,Chryseobacterium scophthalmum,Chryseobacterium,Chryseobacterium,Weeksellaceae,Weeksellaceae,Flavobacteriales,Flavobacteriales,Flavobacteriia,Flavobacteriia,Bacteroidetes,Bacteroidetes
Chlorogloea sp. CCALA 695,Chlorogloea sp. CCALA 695,Chlorogloea sp. CCALA 695,Chlorogloea sp. CCALA 695,Chlorogloea,Chlorogloea,Entophysalidaceae,Entophysalidaceae,Chroococcales,Chroococcales,Cyanobacteria_NA,Cyanobacteria_NA,Cyanobacteria,Cyanobacteria
Methylorubrum populi,Methylorubrum populi,Methylorubrum populi,Methylorubrum populi,Methylorubrum,Methylorubrum,Methylobacteriaceae,Methylobacteriaceae,Hyphomicrobiales,Hyphomicrobiales,Alphaproteobacteria,Alphaproteobacteria,Proteobacteria,Proteobacteria
Lysinibacillus sp. B2A1,Lysinibacillus sp. B2A1,Lysinibacillus sp. B2A1,Lysinibacillus sp. B2A1,Lysinibacillus,Lysinibacillus,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Aspergillus cristatus,Aspergillus cristatus,Aspergillus cristatus,Aspergillus cristatus,Aspergillus,Aspergillus,Aspergillaceae,Aspergillaceae,Eurotiales,Eurotiales,Eurotiomycetes,Eurotiomycetes,Ascomycota,Ascomycota
Helicobacter canis,Helicobacter canis,Helicobacter canis,Helicobacter canis,Helicobacter,Helicobacter,Helicobacteraceae,Helicobacteraceae,Campylobacterales,Campylobacterales,Epsilonproteobacteria,Epsilonproteobacteria,Proteobacteria,Proteobacteria
Schwartzia succinivorans,Schwartzia succinivorans,Schwartzia succinivorans,Schwartzia succinivorans,Schwartzia,Schwartzia,Selenomonadaceae,Selenomonadaceae,Selenomonadales,Selenomonadales,Negativicutes,Negativicutes,Firmicutes,Firmicutes
Fructilactobacillus lindneri,Fructilactobacillus lindneri,Fructilactobacillus lindneri,Fructilactobacillus lindneri,Fructilactobacillus,Fructilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Parabacteroides chartae,Parabacteroides chartae,Parabacteroides chartae,Parabacteroides chartae,Parabacteroides,Parabacteroides,Tannerellaceae,Tannerellaceae,Bacteroidales,Bacteroidales,Bacteroidia,Bacteroidia,Bacteroidetes,Bacteroidetes
Lactobacillus gigeriorum,Lactobacillus gigeriorum,Lactobacillus gigeriorum,Lactobacillus gigeriorum,Lactobacillus,Lactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Acinetobacter beijerinckii,Acinetobacter beijerinckii,Acinetobacter beijerinckii,Acinetobacter beijerinckii,Acinetobacter,Acinetobacter,Moraxellaceae,Moraxellaceae,Moraxellales,Moraxellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Staphylococcus simulans,Staphylococcus simulans,Staphylococcus simulans,Staphylococcus simulans,Staphylococcus,Staphylococcus,Staphylococcaceae,Staphylococcaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Acinetobacter seifertii,Acinetobacter seifertii,Acinetobacter seifertii,Acinetobacter seifertii,Acinetobacter,Acinetobacter,Moraxellaceae,Moraxellaceae,Moraxellales,Moraxellales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Hydrogenoanaerobacterium saccharovorans,Hydrogenoanaerobacterium saccharovorans,Hydrogenoanaerobacterium saccharovorans,Hydrogenoanaerobacterium saccharovorans,Hydrogenoanaerobacterium,Hydrogenoanaerobacterium,Oscillospiraceae,Oscillospiraceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Providencia rustigianii,Providencia rustigianii,Providencia rustigianii,Providencia rustigianii,Providencia,Providencia,Morganellaceae,Morganellaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Lentilactobacillus farraginis,Lentilactobacillus farraginis,Lentilactobacillus farraginis,Lentilactobacillus farraginis,Lentilactobacillus,Lentilactobacillus,Lactobacillaceae,Lactobacillaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Bifidobacterium tsurumiense,Bifidobacterium tsurumiense,Bifidobacterium tsurumiense,Bifidobacterium tsurumiense,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Enterococcus columbae,Enterococcus columbae,Enterococcus columbae,Enterococcus columbae,Enterococcus,Enterococcus,Enterococcaceae,Enterococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Solibacillus silvestris,Solibacillus silvestris,Solibacillus silvestris,Solibacillus silvestris,Solibacillus,Solibacillus,Planococcaceae,Planococcaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Caldibacillus thermoamylovorans,Caldibacillus thermoamylovorans,Caldibacillus thermoamylovorans,Caldibacillus thermoamylovorans,Caldibacillus,Caldibacillus,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Caldibacillus hisashii,Caldibacillus hisashii,Caldibacillus hisashii,Caldibacillus hisashii,Caldibacillus,Caldibacillus,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Clostridium combesii,Clostridium combesii,Clostridium combesii,Clostridium combesii,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Pseudomonas taetrolens,Pseudomonas taetrolens,Pseudomonas taetrolens,Pseudomonas taetrolens,Pseudomonas,Pseudomonas,Pseudomonadaceae,Pseudomonadaceae,Pseudomonadales,Pseudomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Clostridium beijerinckii,Clostridium beijerinckii,Clostridium beijerinckii,Clostridium beijerinckii,Clostridium,Clostridium,Clostridiaceae,Clostridiaceae,Eubacteriales,Eubacteriales,Clostridia,Clostridia,Firmicutes,Firmicutes
Aspergillus sydowii,Aspergillus sydowii,Aspergillus sydowii,Aspergillus sydowii,Aspergillus,Aspergillus,Aspergillaceae,Aspergillaceae,Eurotiales,Eurotiales,Eurotiomycetes,Eurotiomycetes,Ascomycota,Ascomycota
Cytobacillus oceanisediminis,Cytobacillus oceanisediminis,Cytobacillus oceanisediminis,Cytobacillus oceanisediminis,Cytobacillus,Cytobacillus,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Paenibacillus glucanolyticus,Paenibacillus glucanolyticus,Paenibacillus glucanolyticus,Paenibacillus glucanolyticus,Paenibacillus,Paenibacillus,Paenibacillaceae,Paenibacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Psychrobacillus psychrotolerans,Psychrobacillus psychrotolerans,Psychrobacillus psychrotolerans,Psychrobacillus psychrotolerans,Psychrobacillus,Psychrobacillus,Bacillaceae,Bacillaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Sporosarcina newyorkensis,Sporosarcina newyorkensis,Sporosarcina newyorkensis,Sporosarcina newyorkensis,Sporosarcina,Sporosarcina,Planococcaceae,Planococcaceae,Bacillales,Bacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Bifidobacterium indicum,Bifidobacterium indicum,Bifidobacterium indicum,Bifidobacterium indicum,Bifidobacterium,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriaceae,Bifidobacteriales,Bifidobacteriales,Actinomycetia,Actinomycetia,Actinobacteria,Actinobacteria
Enterobacter sp. 10-1,Enterobacter sp. 10-1,Enterobacter sp. 10-1,Enterobacter sp. 10-1,Enterobacter,Enterobacter,Enterobacteriaceae,Enterobacteriaceae,Enterobacterales,Enterobacterales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
Aspergillus niger,Aspergillus niger,Aspergillus niger,Aspergillus niger,Aspergillus,Aspergillus,Aspergillaceae,Aspergillaceae,Eurotiales,Eurotiales,Eurotiomycetes,Eurotiomycetes,Ascomycota,Ascomycota
Aspergillus welwitschiae,Aspergillus welwitschiae,Aspergillus welwitschiae,Aspergillus welwitschiae,Aspergillus,Aspergillus,Aspergillaceae,Aspergillaceae,Eurotiales,Eurotiales,Eurotiomycetes,Eurotiomycetes,Ascomycota,Ascomycota
Aspergillus luchuensis,Aspergillus luchuensis,Aspergillus luchuensis,Aspergillus luchuensis,Aspergillus,Aspergillus,Aspergillaceae,Aspergillaceae,Eurotiales,Eurotiales,Eurotiomycetes,Eurotiomycetes,Ascomycota,Ascomycota
Streptococcus troglodytae,Streptococcus troglodytae,Streptococcus troglodytae,Streptococcus troglodytae,Streptococcus,Streptococcus,Streptococcaceae,Streptococcaceae,Lactobacillales,Lactobacillales,Bacilli,Bacilli,Firmicutes,Firmicutes
Stenotrophomonas humi,Stenotrophomonas humi,Stenotrophomonas humi,Stenotrophomonas humi,Stenotrophomonas,Stenotrophomonas,Xanthomonadaceae,Xanthomonadaceae,Xanthomonadales,Xanthomonadales,Gammaproteobacteria,Gammaproteobacteria,Proteobacteria,Proteobacteria
